pertanyaan,jawaban,createdAt,cosine,score
apa itu bidikmisi?,"Bidikmisi adalah bantuan biaya pendidikan yang diberikan pemerintah dan ditujukan bagi lulusan Sekolah Menengah Atas (SMA) atau sederajat yang memiliki potensi akademik baik, tetapi memiliki ",40:30.3,1,3.993
apa tujuan bidikmisi?,meningkatkan akses dan kesempatan belajar di perguruan tinggi bagi peserta didik yang memiliki berpotensi akademik baik tetapi memiliki keterbatasan ekonomi,41:11.0,1,0.363
Bagaimana pembayaran untuk mahasiswa yang berbeasiswa Bidikmisi?,"Mahasiswa berbeasiswa Bidik Misi dibebaskan melakukan pembayaran UKT/SPP , Ikoma namun tetap harus melakukan daftar ulang online",43:05.1,1,3.3
"Saya sudah melakukan pembayaran SPP/UKT, Ikoma. Apakah sudah otomatis daftar ulang?","Tidak, Anda harus login ke laman http://online.pens.ac.id pada menu daftar ulang klik tombol DAFTAR ULANG, lalu cetak bukti daftar ulang anda sebagai bukti anda sudah melakukan daftar ulang.",44:43.7,1,3.3
Berapakah jumlah harus dibayarkan untuk UKT/SPP dan IKOMA?,Karena jumlah yang dibayarkan tiap mahasiswa dan angkatan berbeda maka jumlah itu silahkan dicek di menu daftar ulang laman http://online.mis.eepis-its.edu atau ATM/Internet Banking/TELLER,44:54.6,1,3.63
Pembayaran melalui ATM bersama apakah bisa? ,Tidak Bisa,45:09.1,1,3.3
Bagaimana cara untuk mendaftar beasiswa Adaro ?,Untuk mendaftar beasiswa adaro dari PENS dapat melalui link https://intip.in/Adaro2020/,45:15.1,1,3.3
Bagaimana cara mendaftar beasiwa Djarum Plus?,Untuk mendaftar beasiswa djarum plus dapat melalui website https://djarumbeasiswaplus.org/,45:23.8,1,3.3
Dimana saya bisa menemukan Kemahasiswaan PENS ? ,Gedung Kemahasiswaan PENS berlokasi di D4 Lantai 1 di Politeknik Elektronika Negeri Surabaya,45:31.6,1,0.13784919
PENS berlokasi dimana?,"Jalan Raya ITS - Kampus PENS Sukolilo Surabaya 60111, Indonesia",45:41.4,1,3.3
Apa Persyaratan pendaftaran beasiswa Djarum beasiswaplus,"Persyaratan pendaftaran adalah:
Sedang menempuh pendidikan Strata 1/Diploma 4 di semester IV, dari semua disiplin ilmu.
IPK minimum 3.00 pada semester III, serta dapat mempertahankan IPK mini",45:47.5,1,3
Bagaimana Alur pendaftaran Djarum Beasiswa Plus,"Pendaftar melakukan pendaftaran online dan mengisi dengan lengkap formulir pendaftaran (melalui link website resmi yang akan dibuka pada bulan 20 Maret - 27 Mei 2023).
Pendaftar akan mendapa",51:50.6,1,3
Kapan Pendaftaran Beasiswa Djarum beasiswa Plus dibuka?,"Program Djarum Beasiswa Plus dibuka 1 kali dalam 1 tahun untuk mahasiswa yang tengah menempuh semester IV. Untuk tahun 2023, pendaftaran akan dibuka pada 20 Maret 2023 dan ditutup pada 27 Mei",53:16.1,1,3.3
Kegiatan penalaran apa saja yang ada di PENS?,"Kegiatan mahasiswa PENS yang meliputi penalaran adalah GEMASTIK, NPEO, PKM dan MAWAPRES",53:21.9,1,3.3
Kegiatan UKM apa saja yang ada di PENS?,"Futsal, Volly , Tari, Tenis Meja, Badminton, Tae Kwon Do, Basket dan ENT",53:28.7,1,3.3
Organisasi Mahasiswa apa saja yang ada di PENS?,"Badan Eksekutif Mahasiswa, Dewan Perwakilan Mahasiswa, Dewan Konstitusi Mahasiswa, Lembaga Minat Bakat, Unit Kegiatan Kerohanian Islam, Unit Kegiatan Kristen Katolik dan Himpunan Mahasiswa",53:33.4,1,3.3
Apa saja kemahasiswaan PENS di bidang Kesejahteraan ?,"Mulai dari beasiswa, Konsultasi Psikologi dan Klinik untuk dokter umum.",53:38.0,1,3.63
apa itu beasiswa,"Beasiswa adalah bentuk bantuan keuangan yang diberikan kepada seseorang untuk membantu membiayai pendidikannya. Beasiswa bisa diberikan oleh pemerintah, lembaga pendidikan, organisasi non-p",53:59.6,1,3
apa itu Politeknik Elektronika Negeri Surabaya?,Politeknik Elektronika Negeri Surabaya atau yang biasa dikenal dengan PENS merupakan salah satu perguruan tinggi negeri terbaik yang menyelenggarakan pendidikan vokasi pada bidang elektronik ,54:04.5,1,3.993
Apa itu Himpunan Mahasiswa ?,organisasi mahasiswa tingkat jurusan atau program studi yang memiliki tujuan sama dengan perguruan tinggi untuk mengembangkan minat bakat mahasiswa baik di bidang akademik maupun non akademik,54:08.6,1,3.63
Apa itu KMIPN?,Kompetisi Mahasiswa Informatika Politeknik Nasional KMIPN merupakan ajang bergengsi untuk Politeknik se-Indonesia di bidang Informatika. Pada tahun ini KMIPN akan dilaksanakan di Jakarta.,54:12.6,1,3.63
Apa itu Gemastik?,"GEMASTIK atau Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi, merupakan program Pusat Prestasi Nasional, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",54:16.1,1,3.3
Apa itu PMW?,Program Mahasiswa Wirausaha PMW merupakan program yang diperuntukkan bagi mahasiswa dalam menciptakan aktivitas usaha.,54:19.4,1,3.3
Apa itu PWMV ?,Program Pembinaan Mahasiswa Wirausaha P2MW adalah program pengembangan usaha mahasiswa yang telah memiliki usaha. Program ini memberikan bantuan dana pengembangan dan pembinaan dengan melakuk,54:23.3,1,3.63
